----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  contig_119      o__Cytophagales (UID2936)           47         454           336         9    438   7   0   0   0       97.62            1.64              14.29          
  metabat.50      p__Cyanobacteria (UID2189)          82         579           450         11   565   3   0   0   0       97.56            0.67               0.00          
  metabat.48        s__algicola (UID2846)             47         571           303        323   248   0   0   0   0       35.97            0.00               0.00          
  metabat.56        k__Bacteria (UID3060)            138         338           246        230   108   0   0   0   0       30.28            0.00               0.00          
  metabat.32         k__Bacteria (UID203)            5449        104            58         85    19   0   0   0   0       29.31            0.00               0.00          
  metabat.41   c__Deltaproteobacteria (UID3216)       83         247           155        169    77   1   0   0   0       28.18            0.13               0.00          
  metabat.27   c__Deltaproteobacteria (UID3218)       61         284           169        207    77   0   0   0   0       26.36            0.00               0.00          
  metabat.24      o__Clostridiales (UID1212)         172         263           149        198    65   0   0   0   0       22.60            0.00               0.00          
  metabat.23         k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       22.41            0.00               0.00          
  metabat.3      p__Proteobacteria (UID3061)         115         395           260        284   111   0   0   0   0       22.41            0.00               0.00          
  metabat.14         k__Bacteria (UID203)            5449        104            58         88    16   0   0   0   0       21.55            0.00               0.00          
  metabat.42   c__Deltaproteobacteria (UID3216)       83         247           155        185    62   0   0   0   0       20.79            0.00               0.00          
  metabat.11         k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       20.69            0.00               0.00          
  metabat.47      o__Clostridiales (UID1120)         304         247           141        196    50   1   0   0   0       20.57            0.35               0.00          
  metabat.43        k__Bacteria (UID3060)            138         338           246        260    78   0   0   0   0       19.73            0.00               0.00          
  metabat.2          k__Bacteria (UID203)            5449        102            56         88    14   0   0   0   0       19.64            0.00               0.00          
  metabat.39         k__Bacteria (UID203)            5449        103            57         93    10   0   0   0   0       14.04            0.00               0.00          
  metabat.9    c__Deltaproteobacteria (UID3218)       61         284           169        223    60   1   0   0   0       12.59            0.02               0.00          
  metabat.5         s__algicola (UID2846)             47         571           303        484    86   1   0   0   0       12.08            0.01               0.00          
  metabat.40         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0       12.07            0.00               0.00          
  metabat.61    f__Rhodobacteraceae (UID3360)         56         582           313        501    79   2   0   0   0       12.02            0.16               0.00          
  metabat.12         k__Bacteria (UID203)            5449        102            56         95    7    0   0   0   0       10.71            0.00               0.00          
  metabat.59         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0       10.50            0.00               0.00          
  metabat.6          k__Bacteria (UID203)            5449        104            58         96    8    0   0   0   0        9.64            0.00               0.00          
  metabat.25         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        9.48            0.00               0.00          
  metabat.33      o__Clostridiales (UID1212)         172         263           149        216    47   0   0   0   0        8.72            0.00               0.00          
  metabat.65         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
