locus_tag	ftype	length_bp	gene	EC_number	COG	product
OAIEIIOC_00001	CDS	498	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
OAIEIIOC_00002	CDS	747	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OAIEIIOC_00003	CDS	1167	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OAIEIIOC_00004	CDS	819	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
OAIEIIOC_00005	CDS	291				hypothetical protein
OAIEIIOC_00006	CDS	1056	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
OAIEIIOC_00007	CDS	4335	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
OAIEIIOC_00008	CDS	549	rnhA	3.1.26.4	COG0328	Ribonuclease HI
OAIEIIOC_00009	CDS	2433				hypothetical protein
OAIEIIOC_00010	CDS	1677				hypothetical protein
OAIEIIOC_00011	CDS	270				hypothetical protein
OAIEIIOC_00012	tRNA	72				tRNA-Thr(ggt)
OAIEIIOC_00013	CDS	375				hypothetical protein
OAIEIIOC_00014	CDS	1407				hypothetical protein
OAIEIIOC_00015	CDS	1023				hypothetical protein
OAIEIIOC_00016	CDS	393				hypothetical protein
OAIEIIOC_00017	CDS	1200				hypothetical protein
OAIEIIOC_00018	CDS	987				hypothetical protein
OAIEIIOC_00019	CDS	666	hypB			Hydrogenase maturation factor HypB
OAIEIIOC_00020	CDS	189				hypothetical protein
OAIEIIOC_00021	CDS	357				hypothetical protein
OAIEIIOC_00022	CDS	2265		1.18.1.2		Ferredoxin--NADP reductase
OAIEIIOC_00023	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
OAIEIIOC_00024	CDS	1020	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OAIEIIOC_00025	CDS	930				hypothetical protein
OAIEIIOC_00026	CDS	297				hypothetical protein
OAIEIIOC_00027	CDS	714				hypothetical protein
OAIEIIOC_00028	CDS	540				hypothetical protein
OAIEIIOC_00029	CDS	1266				hypothetical protein
OAIEIIOC_00030	CDS	2226				hypothetical protein
OAIEIIOC_00031	CDS	900				hypothetical protein
OAIEIIOC_00032	CDS	1530	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
OAIEIIOC_00033	CDS	291				hypothetical protein
OAIEIIOC_00034	CDS	384	czcR			Transcriptional activator protein CzcR
OAIEIIOC_00035	CDS	594				hypothetical protein
OAIEIIOC_00036	CDS	387	cheY		COG0784	Chemotaxis protein CheY
OAIEIIOC_00037	CDS	327				hypothetical protein
OAIEIIOC_00038	CDS	1557	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
OAIEIIOC_00039	CDS	1518	rny	3.1.-.-	COG1418	Ribonuclease Y
OAIEIIOC_00040	CDS	348				hypothetical protein
OAIEIIOC_00041	CDS	228				hypothetical protein
OAIEIIOC_00042	CDS	924	rhaR_1			HTH-type transcriptional activator RhaR
OAIEIIOC_00043	CDS	1332	msmE		COG1653	Multiple sugar-binding protein
OAIEIIOC_00044	CDS	906	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
OAIEIIOC_00045	CDS	849	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
OAIEIIOC_00046	CDS	1431	purB	4.3.2.2		Adenylosuccinate lyase
OAIEIIOC_00047	CDS	792	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
OAIEIIOC_00048	CDS	534	act	3.-.-.-		Methanol dehydrogenase activator
OAIEIIOC_00049	CDS	441				hypothetical protein
OAIEIIOC_00050	CDS	150	rbr3B	1.11.1.1	COG1592	Reverse rubrerythrin-2
OAIEIIOC_00051	CDS	456	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
OAIEIIOC_00052	CDS	879	pdp_1	2.4.2.2		Pyrimidine-nucleoside phosphorylase
OAIEIIOC_00053	CDS	471	pdp_2	2.4.2.2		Pyrimidine-nucleoside phosphorylase
OAIEIIOC_00054	CDS	504	yrdA		COG0663	Protein YrdA
OAIEIIOC_00055	CDS	579				hypothetical protein
OAIEIIOC_00056	CDS	720	scpA		COG1354	Segregation and condensation protein A
OAIEIIOC_00057	CDS	585	scpB		COG1386	Segregation and condensation protein B
OAIEIIOC_00058	CDS	705	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
OAIEIIOC_00059	CDS	264				hypothetical protein
OAIEIIOC_00060	CDS	342				hypothetical protein
OAIEIIOC_00061	CDS	1509		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
OAIEIIOC_00062	CDS	336				hypothetical protein
OAIEIIOC_00063	CDS	375	gcdC	7.2.4.5	COG0511	Glutaconyl-CoA decarboxylase subunit gamma
OAIEIIOC_00064	CDS	765	gcdB	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
OAIEIIOC_00065	CDS	1413	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
OAIEIIOC_00066	CDS	903	murR			HTH-type transcriptional regulator MurR
OAIEIIOC_00067	CDS	1368				hypothetical protein
OAIEIIOC_00068	CDS	1341				hypothetical protein
OAIEIIOC_00069	CDS	939				hypothetical protein
OAIEIIOC_00070	CDS	1449				hypothetical protein
OAIEIIOC_00071	CDS	930		3.1.1.23	COG2267	Monoacylglycerol lipase
OAIEIIOC_00072	CDS	594				hypothetical protein
OAIEIIOC_00073	CDS	795				hypothetical protein
OAIEIIOC_00074	CDS	1245				hypothetical protein
OAIEIIOC_00075	CDS	732				hypothetical protein
OAIEIIOC_00076	CDS	423				hypothetical protein
OAIEIIOC_00077	CDS	1242	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
OAIEIIOC_00078	CDS	615	serC_1	2.6.1.52	COG1932	Phosphoserine aminotransferase
OAIEIIOC_00079	CDS	246	serC_2	2.6.1.52	COG1932	Phosphoserine aminotransferase
OAIEIIOC_00080	CDS	198	serC_3	2.6.1.52	COG1932	Phosphoserine aminotransferase
OAIEIIOC_00081	CDS	1164	pdxB	1.1.1.290		Erythronate-4-phosphate dehydrogenase
OAIEIIOC_00082	CDS	1233				hypothetical protein
OAIEIIOC_00083	CDS	1041	hflK		COG0330	Modulator of FtsH protease HflK
OAIEIIOC_00084	CDS	981				hypothetical protein
OAIEIIOC_00085	CDS	2190	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
OAIEIIOC_00086	CDS	1389	argH	4.3.2.1	COG0165	Argininosuccinate lyase
