#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_119	4706701	91	Y	N	3	*	119
contig_521	2896547	167	N	N	7	*	-514,511,512,521,-512
contig_519	1594256	168	N	N	7	*	-522,-510,515,518,509,519,-515,510,-509,522
contig_513	797307	165	N	N	7	*	512,513,-512,-511,-522
contig_517	503587	166	N	N	7	*	-522,-510,515,516,517,-512,-511,-522
contig_3737	304322	24	N	N	1	*	*,3737,*
contig_2	301213	17	N	N	1	*	*,2
contig_456	244051	19	N	N	1	*	*,-455,456,*
contig_7984	241288	26	N	N	1	*	*,7984,*
contig_2966	238192	23	N	N	1	*	*,2966,-7376,*
contig_7797	209727	19	N	N	1	*	7797,1755,*
contig_8090	207854	26	N	N	1	*	*,8090,*
contig_1758	200001	20	N	N	1	*	*,1758,*
contig_7774	195869	24	N	N	1	*	*,7774
contig_87	192859	21	N	N	1	*	*,87,*
contig_2965	179312	24	N	N	1	*	*,2965,*
contig_1448	177086	19	N	N	1	*	-8122,1448,*
contig_2788	173782	24	N	N	1	*	*,2788,*
contig_2659	170612	18	N	N	1	*	*,2659,*
contig_2963	169229	21	N	N	1	*	*,2963
contig_7629	147596	16	N	N	1	*	7629,*
contig_7975	144978	20	N	N	1	*	*,7975,*
contig_1930	135567	18	N	N	1	*	*,1930,*
contig_4662	135093	18	N	N	1	*	*,4662,*
contig_259	133821	24	N	N	1	*	*,259,3745
contig_909	130638	23	N	N	1	*	*,909,*
contig_3511	130545	22	N	N	1	*	*,3511,*
contig_1685	130459	21	N	N	1	*	*,1685,*
contig_526	129922	24	N	N	1	*	*,526,*
contig_2404	129745	23	N	N	1	*	*,2404,-6537
contig_7307	129061	22	N	N	1	*	*,7307,*
contig_8028	128174	22	N	N	1	*	*,8028,*
contig_5654	127534	22	N	N	1	*	*,5654,*
contig_2290	127521	23	N	N	1	*	*,2290,*
contig_3391	126297	18	N	N	1	*	3391,*
contig_33	124961	18	N	N	1	*	*,33,-1539
contig_1757	120635	20	N	N	1	*	*,-1755,1757,*
contig_1290	120376	21	N	N	1	*	*,1290
contig_2968	118807	25	N	N	1	*	-7901,2964,2968,*
contig_1078	116928	54	N	N	2	*	*,3197,1078
contig_2643	116336	21	N	N	1	*	2643,*
contig_581	113512	16	N	N	1	*	*,581,4904,*
contig_2970	113211	21	N	N	1	*	*,2970,*
contig_7633	112435	17	N	N	1	*	7633,*
contig_5	111952	22	N	N	1	*	5,11,12
contig_7503	110089	64	Y	N	3	*	7503
contig_8054	109397	83	N	N	2	*	8054
contig_987	109348	18	N	N	1	*	*,-7734,987,*
contig_7753	109308	22	N	N	1	*	*,7753,-6055,-6055,*
contig_5191	108633	16	N	N	1	*	*,5191,*
contig_7673	106014	18	N	N	1	*	*,7673,455,*
contig_7897	105344	22	N	N	1	*	*,7897,*
contig_8057	102895	18	N	N	1	*	*,8057,*
contig_7694	101422	20	N	N	1	*	*,7694,*
contig_3992	99484	17	N	N	1	*	*,3992,*
contig_3905	99065	22	N	N	1	*	*,3905,*
contig_6	97734	16	N	N	1	*	*,6,*
contig_1740	95021	32	N	N	1	*	*,1740,*
contig_2199	93858	20	N	N	1	*	*,2199,*
contig_1560	93823	18	N	N	1	*	1560,2195,2198
contig_1247	93090	18	N	N	1	*	*,1247,*
contig_7736	92168	26	N	N	1	*	*,7736,*
contig_692	91496	20	N	N	1	*	*,692,*
contig_4376	88009	15	N	N	1	*	*,4376,*
contig_2194	87879	19	N	N	1	*	*,2194,2195,2198
contig_1641	86429	21	N	N	1	*	*,1641,*
contig_4869	86285	20	N	N	1	*	*,4869,*
contig_1558	83035	16	N	N	1	*	*,1558,*
contig_3749	81714	26	N	N	1	*	*,3749,*
contig_6429	79626	19	N	N	1	*	*,6429,*
contig_1933	79138	20	N	N	1	*	*,1933,*
contig_1243	78423	18	N	N	1	*	*,1243,*
contig_5407	77469	18	N	N	1	*	*,5407,*
contig_691	76744	23	N	N	1	*	*,691,*
contig_595	75945	21	N	N	1	*	*,595,*
contig_8077	74976	22	N	N	1	*	*,8077,*
contig_4276	73681	14	N	N	1	*	*,4276,*
contig_8141	70983	17	N	N	1	*	*,8141,*
contig_13	70479	18	N	N	1	*	*,13,*
contig_2757	69638	24	N	N	1	*	*,2757,*
contig_8147	69536	23	N	N	1	*	*,8147,*
contig_7643	69280	20	N	N	1	*	*,7643,*
contig_3709	67529	16	N	N	1	*	*,3709,*
contig_8053	67320	86	N	N	4	*	-4925,8053,4925
contig_7838	67104	21	N	N	1	*	*,7838,*
contig_693	67069	23	N	N	1	*	693,-2964
contig_7663	66783	22	N	N	1	*	*,7663,*
contig_1739	66613	42	N	N	1	*	*,1739,*
contig_5580	65914	20	N	N	1	*	*,5580,*
contig_7962	65770	22	N	N	1	*	*,7962,*
contig_485	64876	15	N	N	1	*	*,485,*
contig_8087	64285	21	N	N	1	*	*,8087,*
contig_3399	63775	16	N	N	1	*	*,3399,*
contig_4730	63740	18	N	N	1	*	*,4730,*
contig_438	62769	16	N	N	1	*	*,881,438,*
contig_8030	62503	15	N	N	1	*	*,8030,*
contig_7912	62476	17	N	N	1	*	*,7912
contig_4778	62113	19	N	N	1	*	*,4778,*
contig_7676	61647	20	N	N	1	*	*,7676,*
contig_3180	61410	18	N	N	1	*	*,3180,*
contig_7798	60258	20	N	N	1	*	*,7798,*
contig_7829	60117	18	N	N	1	*	*,7829,*
contig_3747	59764	28	N	N	1	*	*,3747,*
contig_4962	59729	21	N	N	1	*	*,4962,*
contig_478	58811	16	N	N	1	*	*,478,*
contig_4776	58746	16	N	N	1	*	*,4776,*
contig_7816	58637	17	N	N	1	*	*,7816,*
contig_4903	58433	17	N	N	1	*	*,4903,4904,*
contig_677	58097	26	N	N	1	*	*,677,*
contig_4707	57904	21	N	N	1	*	*,4707,*
contig_7789	57477	14	N	N	1	*	*,7789,*
contig_7974	56155	17	N	N	1	*	*,7974,*
contig_1365	56101	22	N	N	1	*	*,1365,*
contig_5556	55895	19	N	N	1	*	*,5556,*
contig_6433	55811	15	N	N	1	*	*,6433,*
contig_8061	54657	17	N	N	1	*	*,8061,*
contig_2679	54482	15	N	N	1	*	*,2679,*
contig_1107	50486	20	N	N	2	*	*,1107,*
contig_7738	50020	20	N	N	1	*	*,7738,*
contig_7640	49690	23	N	N	1	*	*,7640,*
contig_2785	49111	19	N	N	1	*	*,2785,*
contig_8066	48630	165	Y	N	6	*	8066
contig_5921	48208	17	N	N	1	*	*,5921,*
contig_8101	47805	14	N	N	1	*	*,8101,*
contig_7900	47667	16	N	N	1	*	*,7900,*
contig_8074	47469	19	N	N	1	*	8074,*
contig_8015	47282	12	N	N	1	*	*,8015,*
contig_7902	47021	18	N	N	1	*	7902,*
contig_6297	46260	24	N	N	1	*	*,6297,*
contig_4447	45929	7	N	N	1	*	*,4447,*
contig_5944	44269	15	N	N	1	*	*,5944,*
contig_2835	43493	13	N	N	1	*	*,2835,*
contig_2971	43261	22	N	N	1	*	7901,2971,*
contig_986	43253	18	N	N	1	*	*,986,7734,*
contig_7826	43239	59	N	Y	2	*	7826
contig_8151	43189	20	N	N	1	*	*,8151,*
contig_7780	42393	17	N	N	1	*	*,7780,*
contig_2641	41649	20	N	N	1	*	*,2641,*
contig_5078	40517	18	N	N	1	*	*,5078,*
contig_6038	39972	7	N	N	1	*	*,6038,*
contig_7923	39776	58	Y	N	2	*	7923
contig_7685	39754	163	N	N	7	*	-514,7685,-516,-515,510,522,-509
contig_3090	39636	15	N	N	1	*	*,3090,*
contig_7854	39052	14	N	N	1	*	*,7854,*
contig_5199	39021	19	N	N	1	*	5199,*
contig_7844	38888	26	N	N	1	*	*,7844,*
contig_1981	38733	15	N	N	1	*	*,1981,*
contig_3645	38207	7	N	N	1	*	*,3645,*
contig_8146	37555	21	N	N	1	*	*,8146,*
contig_3751	37013	23	N	N	1	*	-3745,3751,*
contig_7720	36654	15	N	N	1	*	*,7720,*
contig_8048	36365	19	N	N	1	*	*,8048,*
contig_7983	36236	16	N	N	1	*	*,7983,*
contig_7742	36172	12	N	N	1	*	*,7742,*
contig_3498	36120	13	N	N	3	*	*,3498,*
contig_5576	35680	14	N	N	1	*	*,5576,*
contig_2888	35489	17	N	N	1	*	*,2888,*
contig_7771	35033	24	N	N	1	*	*,7771,*
contig_4402	34946	17	N	N	1	*	*,4402,*
contig_7710	34893	16	N	N	1	*	*,7710,*
contig_1085	34780	43	N	N	1	*	*,1716,1716,1085,*
contig_5411	34311	15	N	N	1	*	*,5411,*
contig_6383	33782	6	N	N	1	*	*,6383,*
contig_1220	33625	22	N	N	1	*	*,1220,*
contig_3097	33378	10	N	N	1	*	*,3097,*
contig_7925	32971	14	N	N	2	*	*,7925,*
contig_8027	32945	17	N	N	1	*	*,8027,*
contig_7669	32703	15	N	N	1	*	*,7669,*
contig_2565	32668	12	N	N	1	*	*,2565,*
contig_1979	32372	35	N	N	1	*	7826,1979,7826
contig_5096	32322	5	N	N	1	*	*,5096,*
contig_2913	32254	4	N	N	1	*	*,2913,*
contig_5646	31924	9	N	N	1	*	*,5646,*
contig_5041	31770	19	N	N	1	*	*,5041,*
contig_6109	31477	15	N	N	1	*	*,6109,*
contig_5408	31472	17	N	N	2	*	*,5408,*
contig_1400	31355	18	N	N	1	*	*,-455,1400,*
contig_7711	31240	20	N	N	1	*	*,7711,*
contig_8145	31221	21	N	N	1	*	*,8145,*
contig_5604	31156	12	N	N	1	*	*,5604,*
contig_7942	31120	22	N	N	1	*	7942,*
contig_5094	31031	22	N	N	1	*	*,5094,*
contig_7678	31010	15	N	N	1	*	*,7678,*
contig_8024	30968	13	N	N	1	*	*,8024,*
contig_2676	30852	23	N	N	1	*	*,2676,*
contig_6401	30796	8	N	N	1	*	*,6401,*
contig_3756	30674	14	N	N	1	*	*,3756,*
contig_7811	30610	15	N	N	1	*	*,7811,*
contig_7972	30421	19	N	N	1	*	*,7972,*
contig_7950	30151	16	N	N	2	*	*,7950,*
contig_6095	30023	6	N	N	1	*	*,6095,*
contig_4860	29944	17	N	N	1	*	*,4860,*
contig_1929	29881	21	N	N	1	*	*,1929,*
contig_7675	29881	17	N	N	1	*	*,-455,7675,*
contig_4518	29422	16	N	N	1	*	*,4518,*
contig_3418	29351	18	N	N	2	*	*,3418,*
contig_7814	29348	57	Y	N	1	*	7814
contig_690	29324	19	N	N	1	*	*,690,*
contig_5642	29076	6	N	N	1	*	*,5642,*
contig_7630	28853	17	N	N	1	*	-12,-11,7630,*
contig_3455	28840	17	N	N	1	*	*,3455,*
contig_7998	28638	11	N	N	2	*	*,7998,*
contig_337	28353	26	N	N	2	*	*,337,*
contig_7910	28257	17	N	N	1	*	*,7910,*
contig_417	28191	16	N	N	1	*	*,417,*
contig_7351	28032	18	N	N	1	*	*,7351,*
