locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMKOGNAN_00001	CDS	1530				hypothetical protein
EMKOGNAN_00002	CDS	255				hypothetical protein
EMKOGNAN_00003	CDS	306				hypothetical protein
EMKOGNAN_00004	CDS	105				hypothetical protein
EMKOGNAN_00005	CDS	1515				hypothetical protein
EMKOGNAN_00006	CDS	4083				hypothetical protein
EMKOGNAN_00007	CDS	780		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
EMKOGNAN_00008	CDS	453				hypothetical protein
EMKOGNAN_00009	CDS	366				hypothetical protein
EMKOGNAN_00010	CDS	1008				hypothetical protein
EMKOGNAN_00011	CDS	609	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
EMKOGNAN_00012	CDS	1935	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EMKOGNAN_00013	CDS	2430	copA	7.2.2.8		putative copper-importing P-type ATPase A
EMKOGNAN_00014	CDS	852				hypothetical protein
EMKOGNAN_00015	CDS	510				hypothetical protein
EMKOGNAN_00016	CDS	324				hypothetical protein
EMKOGNAN_00017	CDS	840	crtB	2.5.1.32		15-cis-phytoene synthase
EMKOGNAN_00018	CDS	123				hypothetical protein
EMKOGNAN_00019	CDS	1824	mutS_1			DNA mismatch repair protein MutS
EMKOGNAN_00020	CDS	2580				hypothetical protein
EMKOGNAN_00021	CDS	426	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
EMKOGNAN_00022	CDS	396				hypothetical protein
EMKOGNAN_00023	CDS	4146				hypothetical protein
EMKOGNAN_00024	CDS	273				hypothetical protein
EMKOGNAN_00025	CDS	1467	pyk	2.7.1.40	COG0469	Pyruvate kinase
EMKOGNAN_00026	CDS	1779				hypothetical protein
EMKOGNAN_00027	CDS	729	scdA			Iron-sulfur cluster repair protein ScdA
EMKOGNAN_00028	CDS	384				hypothetical protein
EMKOGNAN_00029	CDS	627				hypothetical protein
EMKOGNAN_00030	CDS	1764				hypothetical protein
EMKOGNAN_00031	CDS	285				hypothetical protein
EMKOGNAN_00032	CDS	609				hypothetical protein
EMKOGNAN_00033	CDS	195				hypothetical protein
EMKOGNAN_00034	CDS	7023				hypothetical protein
EMKOGNAN_00035	CDS	135				hypothetical protein
EMKOGNAN_00036	CDS	294				hypothetical protein
EMKOGNAN_00037	CDS	243				hypothetical protein
